Course Id	Section Number	Title	Department	Program	Year	Semester	Instructor					
10000  TU	11830	Introduction to Programming & Computer Science	Computer Science	Undergraduate	2023	Fall	Anna Towne					
10200  MM1	13859	Introduction to Computing	Computer Science	Undergraduate	2023	Fall	Jun Wu					
10200  MM2	13860	Introduction to Computing	Computer Science	Undergraduate	2023	Fall	Jun Wu					
10200  MM3	13861	Introduction to Computing	Computer Science	Undergraduate	2023	Fall	Jun Wu					
10200  MM4	14519	Introduction to Computing	Computer Science	Undergraduate	2023	Fall	Jun Wu					
10300  CC1	11833	Introduction to Computing for Majors	Computer Science	Undergraduate	2023	Fall	Madeline Blount					
10300  CC2	11834	Introduction to Computing for Majors	Computer Science	Undergraduate	2023	Fall	Madeline Blount					
10300  MM1	11831	Introduction to Computing for Majors	Computer Science	Undergraduate	2023	Fall	Akira Kawaguchi					
10300  MM2	11832	Introduction to Computing for Majors	Computer Science	Undergraduate	2023	Fall	Akira Kawaguchi					
10400  EF1	11836	Discrete Mathematical Structures I	Computer Science	Undergraduate	2023	Fall	Tugce Ozdemir					
10400  EF2	11837	Discrete Mathematical Structures I	Computer Science	Undergraduate	2023	Fall	Tugce Ozdemir					
10400  PR1	11838	Discrete Mathematical Structures I	Computer Science	Undergraduate	2023	Fall	Nathaniel Kingsbury					
10400  PR2	11839	Discrete Mathematical Structures I	Computer Science	Undergraduate	2023	Fall	Nathaniel Kingsbury					
11300  2L	11840	Programming Language	Computer Science	Undergraduate	2023	Fall	Chunyu Yuan					
11300  2N	11841	Programming Language	Computer Science	Undergraduate	2023	Fall	Chunyu Yuan					
21000  G	11851	Computers and Assembly Programming	Computer Science	Undergraduate	2023	Fall	Izidor Gertner					
21100  CC1	14765	Fundamentals of Computer Systems	Computer Science	Undergraduate	2023	Fall	Hesham Auda					
21100  CC2	14766	Fundamentals of Computer Systems	Computer Science	Undergraduate	2023	Fall	Hesham Auda					
21200  BC	14707	Data Structures	Computer Science	Undergraduate	2023	Fall	Jianting Zhang					
21200  LM	14708	Data Structures	Computer Science	Undergraduate	2023	Fall	Yedidiah Solowiejczyk					
21700  E	19334	Probability & Statistics for Computer Sci.	Computer Science	Undergraduate	2023	Fall	Ronak Etemadpour					
21700  S	13767	Probability & Statistics for Computer Sci.	Computer Science	Undergraduate	2023	Fall	Rose Wong					
22000  C	19350	Algorithms	Computer Science	Undergraduate	2023	Fall	Elahe Vahdani					
22000  E	11857	Algorithms	Computer Science	Undergraduate	2023	Fall	Elahe Vahdani					
22000  M	11855	Algorithms	Computer Science	Undergraduate	2023	Fall	Nelly Fazio					
22100  E	11854	Software Design Laboratory	Computer Science	Undergraduate	2023	Fall	Hesham Auda					
22100  4TU	14767	Software Design Laboratory	Computer Science	Undergraduate	2023	Fall	Albi Arapi					
30100  F	19395	Scientific Programming	Computer Science	Undergraduate	2023	Fall	Leonid Gurvits					
30100  L	11847	Scientific Programming	Computer Science	Undergraduate	2023	Fall	Erik Grimmelmann					
30100  P	11846	Scientific Programming	Computer Science	Undergraduate	2023	Fall	Irina Gladkova					
30400  D	14754	Intro. to Theoretical Computer Science	Computer Science	Undergraduate	2023	Fall	Arthur P. Pedersen					
30400  F	11852	Intro. to Theoretical Computer Science	Computer Science	Undergraduate	2023	Fall	Stephen Lucci					
32200  P	11835	Software Engineering	Computer Science	Undergraduate	2023	Fall	Jie Wei					
33200  H	14773	Operating Systems	Computer Science	Undergraduate	2023	Fall	Edsn Kensington					
33200  6X	14771	Operating Systems	Computer Science	Undergraduate	2023	Fall	Devendra Kumar					
33200  6XY	14772	Operating Systems	Computer Science	Undergraduate	2023	Fall	Devendra Kumar					
33500  M	11844	Programming Laguage Paradigms	Computer Science	Undergraduate	2023	Fall	Douglas Troeger					
33500  R	11845	Programming Laguage Paradigms	Computer Science	Undergraduate	2023	Fall	Douglas Troeger					
33600  S	11858	Introduction to Database Systems	Computer Science	Undergraduate	2023	Fall	Adnan A. Khan					
33600  T	19371	Introduction to Database Systems	Computer Science	Undergraduate	2023	Fall	Adnan A. Khan					
34200  E	11850	Computer Organization	Computer Science	Undergraduate	2023	Fall	Izidor Gertner					
34300  5CD	13758	Computer Systems Design Laboratory	Computer Science	Undergraduate	2023	Fall	Albi Arapi					
34300  5DE	13760	Computer Systems Design Laboratory	Computer Science	Undergraduate	2023	Fall	Albi Arapi					
38000  P	14776	Computer Security	Computer Science	Undergraduate	2023	Fall	Nelly Fazio					
41200  C	14706	Computer Networks	Computer Science	Undergraduate	2023	Fall	Kaliappa Ravindran		1			
42300  6XY	14770	Introduction to Distributed Algorithms	Computer Science	Undergraduate	2023	Fall	Devendra Kumar		2			
44000  F	14752	Computational Methods in Numerical Analysis	Computer Science	Undergraduate	2023	Fall	Arthur P. Pedersen		3			
44700  P	20062	Introduction to Machine Learning	Computer Science	Undergraduate	2023	Fall	Erik Grimmelmann		4			
44800  H	11853	Artificial Intelligence	Computer Science	Undergraduate	2023	Fall	Stephen Lucci		5			
45000  B	14769	Conbinatorics and Graph Theory	Computer Science	Undergraduate	2023	Fall	Tugce Ozdemir		6			
45600  1HJ	20044	Topics in Modern Software Engineering	Computer Science	Undergraduate	2023	Fall	Nikolai Avteniev		7			
47000  P	14768	Image Processing	Computer Science	Undergraduate	2023	Fall	George Wolberg		8			
47300 2TU	20012	Website Design	Computer Science	Undergraduate	2023	Fall	Sebastian Csar		9			
48600  D	19393	Computational Complexity	Computer Science	Undergraduate	2023	Fall	Leonid Gurvits		10			
59866  1DD	20069	Senior Project I Lab	Computer Science	Undergraduate	2023	Fall	Zhigang Zhu					
59866  CC	20070	Senior Project I Lab	Computer Science	Undergraduate	2023	Fall	Jianting Zhang					
59866  EE	20072	Senior Project I Lab	Computer Science	Undergraduate	2023	Fall	Kaliapa Ravindran					
59867  M	13762	Senior Project II	Computer Science	Undergraduate	2023	Fall	George Wolberg					
59867  M2	20063	Senior Project II	Computer Science	Undergraduate	2023	Fall	Erik Grimmelmann					
G 7600  4TU	19383	Blockchain Applications	Computer Science	M.Sc. Computer Science	2023	Fall	Oluwaseyi J. Ajayi					
I 0220  6XX	13769	Secure Cloud Computing	Computer Science	M.Sc. Computer Science	2023	Fall	Obinna Igbe					
I 0230  5GH	18796	Web Security	Computer Science	M.Sc. Computer Science	2023	Fall	Joseph Soryal					
I 0600 2PR	18936	Fundamental Algorithms	Computer Science	M.Sc. Computer Science	2023	Fall	Rosario Gennaro					
I 1000  3HJ	14775	Database Systems I	Computer Science	M.Sc. Computer Science	2023	Fall	Kumud Majumder					
I 4490  1HJ	12950	Adversarial Artificial Intelligence	Computer Science	M.Sc. Computer Science	2023	Fall	Allison Bishop					
I 6716  1FG	14906	Computer Vision	Computer Science	M.Sc. Computer Science	2023	Fall	Zhigang Zhu					
I 9800  Q1	20141	Project	Computer Science	M.Sc. Computer Science	2023	Fall	Ihab Darwish					
I 1020  4RR	14899	Introduction to Data Science	Computer Science	M.Sc. Data Science and Engineering	2023	Fall	Michael Grossberg					
